Company,Title,Cert Link,PDF Description
Intuit ,Academy Bookkeeping,https://www.coursera.org/account/accomplishments/professional-cert/U4JLV7CZXFLX,"4 Courses
Bookkeeping Basics
Assets in Accounting
Liabilities and Equity in
Accounting
Financial Statement
Analysis
Jul 11, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
Intuit Academy
Bookkeeping
Whether you are starting out or looking for a career change, the Intuit
Bookkeeping program prepares you for a variety of jobs in public
accounting, private industry, government, and non-pro?t
organizations. You’ve gained a foundational understanding of
accounting principles and an introduction to QuickBooks Online
through hands-on practice working with real-world accounting
scenarios. Upon completion, you’ll be ready to take the Intuit Academy
Bookkeeping exam and can stand out for roles like Associate
Bookkeeper at Intuit or anywhere in the ?eld when you earn your
Intuit Academy Bookkeeping Badge.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/U4JLV7CZXFLX"
"Automatic Data Processing, Inc. (ADP)",ADP Entry-Level Payroll Specialist,https://www.coursera.org/account/accomplishments/professional-cert/DSQJZ2Z8NA1G,"5 Courses
The Payroll Professional
The Payroll Cycle
Getting Started with U.S.
Payroll Fundamentals
Advancing Pro?ciency in U.S.
Payroll Fundamentals
Exploring the Field of U.S.
Payroll
Jul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
ADP Entry-Level Payroll
Specialist
This certi?cate declares that you have been provided with the essential
knowledge necessary to understand how Payroll Professionals carry
out their responsibilities accurately, e?ciently, and in compliance with
applicable laws and regulations. Over the course of this certi?cate, you
have learned to: Identify the value the payroll function provides
organizations as a strategic business partner. Build a foundation of
basic payroll terms, regulations, and concepts needed to execute and
administer the payroll function. Perform the steps needed to process
payroll including calculating earnings, deductions, and taxes. Develop
essential competencies like customer service, data gathering and
analysis, problem-solving. Create a toolkit of resources and templates.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/DSQJZ2Z8NA1G"
Vanderbilt University,Agentic AI and AI Agents for Leaders,https://www.coursera.org/account/accomplishments/specialization/CFJ0ZMB70BC7,"3 Courses
Agentic AI and AI Agents: A
Primer for Leaders
OpenAI GPTs: Creating Your
Own Custom AI Assistants
Prompt Engineering for
ChatGPT
Dr. Jules White
Professor 
Department of
Computer Science 
Vanderbilt University
Jun 9, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Agentic AI and AI Agents
for Leaders
This specialization provides leaders with a comprehensive
understanding of Agentic AI and AI agents, equipping them to drive
innovation and strategic decision-making in their organizations.
Learners will gain practical skills to design basic AI agents using custom
GPTs, critically evaluate AI solutions, and harness automation for real-
world impact.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/CFJ0ZMB70BC7"
Vanderbilt University,AI Agent Developer,https://www.coursera.org/account/accomplishments/specialization/U2DWMA6HJFOK,"6 Courses
AI Agents and Agentic AI
with Python & Generative AI
AI Agents and Agentic AI
Architecture in Python
OpenAI GPTs: Creating Your
Own Custom AI Assistants
Prompt Engineering for
ChatGPT
ChatGPT Advanced Data
Analysis
Trustworthy Generative AI
Jul 7, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
AI Agent Developer
This Specialization certi?es that the learner has successfully completed
a comprehensive program in AI Agent and Agentic AI Software
Development. The learner has demonstrated the ability to design,
build, and deploy intelligent, tool-using AI agents using Python, prompt
engineering, and advanced generative AI techniques. With hands-on
experience in agent architecture, memory systems, custom GPT
development, and trustworthy AI practices, the learner is equipped to
function as a professional AI Agent Software Developer capable of
solving complex, real-world problems in modern software
environments.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/U2DWMA6HJFOK"
University of Pennsylvania,AI For Business,https://www.coursera.org/account/accomplishments/specialization/6CO78Z7TIO2E,"4 Courses
AI Fundamentals for Non-
Data Scientists
AI Applications in Marketing
and Finance
AI Applications in People
Management
AI Strategy and Governance
Kartik Hosanagar,
Professor, Operations,
Information, and
Decisions | Peter
Cappelli, Professor of
Management, Director,
Center for Human
Resources | Michael R.
Roberts, Professor of
Finance | Prasanna
Tambe, Associate
Professor of Operations
| Lynn Wu, Associate
Professor, Operations &
Decisions
Jul 9, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
AI For Business
Learners who have earned the certi?cate in the AI For Business
Specialization have learned how to implement rule-based systems,
implement AI algorithms, and use blockchain in HR functions to
maintain data privacy. They know the fundamentals of Deep Learning,
Machine Learning, and the economy of using Big Data to improve
processes and bring innovation. They have also learned di?erent data
management tools, natural language processing, and using analytics to
target marketing based on consumer behavior. Learners are able to
utilize AI to accelerate the digital transformation of an organization to
maintain a competitive edge.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/6CO78Z7TIO2E"
University of Michigan,AI for Creative Work,https://www.coursera.org/account/accomplishments/specialization/EH4VN3DNKGQ5,"3 Courses
AI Basics and Tools for
Creativity
AI Ethics, Responsible Use,
and Creativity
Using AI to Expand
Creativity
Charles Garrett 
Professor of
Musicology, Glenn
McGeoch Collegiate 
Professor of MusicGarrett Schumann 
Lecturer 
College of Literature,
Science, and the Arts
Jul 7, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
AI for Creative Work
In this specialization, learners developed and honed skills to
successfully and sustainably incorporate AI into their own or their
organization's creative work. Learners engaged with a range of
materials related to many kinds of creativity. They encountered the
expert viewpoints of their instructors as well as guest contributors
who work and specialize in multiple creative disciplines. The
Specialization's key skills included mastering SIFT (specify, identify,
focus, and trust), a method for evaluating and implementing AI
responsibly and e?ectively. Additionally, through a cumulative series of
re?ective assignments, learners connected concepts from the
Specialization with their real-world creative work, developing a durable
practice they can apply to various professional situations.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/EH4VN3DNKGQ5"
University of Pennsylvania,Business and Financial Modeling,https://www.coursera.org/account/accomplishments/specialization/C0DLYMGUU9RQ,"5 Courses
Fundamentals of
Quantitative Modeling
Introduction to
Spreadsheets and Models
Modeling Risk and Realities
Decision-Making and
Scenarios
Wharton Business and
Financial Modeling Capstone
Robert Holthausen,
Professor of Accounting
and Finance, Richard
Lambert, Professor of
Accounting, Sergei
Savin, Associate
Professor, Richard
Waterman, Practice
Professor, Don
Huesman, InstructorJul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Business and Financial
Modeling
This learner has successfully completed all ?ve courses in Wharton's
Business and Financial Modeling Specialization, and has obtained the
skills needed to create spreadsheet models to describe realities, build
scenarios, and predict performance to inform business and ?nancial
decisions.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/C0DLYMGUU9RQ"
Starweaver,Certified Business Analysis Professional? (CBAP®),https://www.coursera.org/account/accomplishments/specialization/U29M9YULUI07,"4 Courses
Business Analysis: Key
De?nitions & Strategy
Analysis
Advanced Business Analysis:
Elicitation & Analysis
Advanced Requirements
Management & Solution
Evaluation
Business Analysis Mastery:
Planning, Skills, and
Perspective
Certi?ed Business
Analysis Professional
(CBAP) & Coach
Jul 16, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Certi?ed Business
Analysis Professional™
(CBAP®)
This certi?cate acknowledges that the learner has completed the
'Certi?ed Business Analysis Professional (CBAP) Specialization,
demonstrating expertise in requirements management, solution
evaluation, stakeholder engagement, and business analysis planning. It
quali?es for 35 professional/continuous development units with
IIBA®. This specialization prepares the learner for the Certi?ed
Business Analysis Professional™ (CBAP®) Exam and does not grant the
right to use the title of a Certi?ed Business Analysis Professional or
CBAP.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/U29M9YULUI07"
Duke University,Church Administration: Finance,https://www.coursera.org/account/accomplishments/specialization/2F2U6B5KAVWG,"3 Courses
Church Administration
Theology and Time
Management
Strategic Management for
Churches
Financial Management for
Churches
Rae Cho; Visting
Assistant Professor 
 
Russ Elmayan; Visiting
Assistant Professor
Jul 11, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Church Administration:
Finance
You have learned how to 1) draw upon management excellence and
know-how in a theologically appropriate way, 2) develop a plan to
steward your time more e?ectively, 3) implement key practices of
strategic management in your church, 4) establish ?nancial policies
and procedures that enable your church to use ?nancial resources
wisely.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/2F2U6B5KAVWG"
Packt,CompTIA A+ Certification Core 1 (220-1101),https://www.coursera.org/account/accomplishments/specialization/66VH8YJQF1YB,"3 Courses
IT Fundamentals and
Hardware Essentials
Networking, Peripherals,
and Wireless Technologies
Advanced Networking,
Virtualization, and IT
Security
Jul 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
CompTIA A+ Certi?cation
Core 1 (220-1101)
Congratulations on completing the CompTIA A+ Core 1 (220-1101)
course! You’ve gained essential skills in con?guring and setting up
mobile devices, mastering key hardware components like
motherboards, CPUs, RAM, and storage. You explored networking
fundamentals, covering con?gurations, protocols, and internet
connections like ?ber and LAN. Additionally, you learned about cloud
computing, virtual machines, and cloud services. Finally, you developed
troubleshooting techniques for hardware and network issues. You’re
now well-prepared for the CompTIA A+ Core 1 certi?cation exam.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/66VH8YJQF1YB"
Packt,CompTIA A+ Certification Core 2 (220-1102),https://www.coursera.org/account/accomplishments/specialization/TQYMAPK9PPK3,"3 Courses
Foundations of Computer
Hardware and Storage
Operating Systems and
Networking Fundamentals
Advanced Networking,
Security, and IT Operations
Jul 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
CompTIA A+ Certi?cation
Core 2 (220-1102)
Congratulations on successfully completing the CompTIA A+ Core 2
(220-1102) certi?cation course! This course covered key IT topics,
including operating systems, security, troubleshooting, and essential IT
operations. You explored the structure of the CompTIA A+ exam and
developed crucial skills such as professional communication, customer
handling, and safety procedures. You also gained expertise in
operating systems like Windows, macOS, and Linux, as well as in user
management, ?le systems, and troubleshooting. Additionally, you
learned important security practices and operational procedures to
ensure smooth IT infrastructure management.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/TQYMAPK9PPK3"
CVS Health,CVS Health Call Center Customer Service,https://www.coursera.org/account/accomplishments/professional-cert/3JFI3LPYSG1U,"4 Courses
Introduction to Customer
Service
Interacting with Customers
Call Center Customer
Service
Preparing for Your Call
Center Customer Service
Role
Ricky La 
Customer Service
ExpertDenielle Booth 
Customer Service
Expert
Cory McLaren 
Customer Service
Expert
Jul 10, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
CVS Health Call Center
Customer Service
A career in customer service requires mastery of tangible people and
communication skills. This program balances interpersonal and team
skills with tasks executed in a call center customer service environment
to prepare learners for success on the job. After completing this
program you can demonstrate active listening, greeting customer, root
cause analysis, de-escalation and prioritize tasks using time
management skills. The program also optimizes a candidate for a
position by allowing you to practice interview questions based on the
material in each module, make observations in the community that can
be drawn on in interviews, create a resume, and prepare an
appropriate social media presence for a job search.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/3JFI3LPYSG1U"
IBM,Data Management,https://www.coursera.org/account/accomplishments/professional-cert/WBCOP5MNVXNP,"12 Courses
Rav Ahuja, Program
Director, IBM Skills
Network
 
Introduction to Data Engineering
Excel Basics for Data Analysis
Statistical Analysis Fundamentals
using Excel
Data Visualization and Dashboards
with Excel and Cognos
Introduction to Relational
Databases (RDBMS)
SQL: A Practical Introduction for
Querying Databases
Data Warehouse Fundamentals
Getting Started with Tableau
Data Integration, Data Storage, &
Data Migration
Data Privacy, Security,
Governance, Risk and Compliance
Data Management Capstone
Project
Practice Test for CompTIA Data+
Certi?cationJul 13, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Professional
Certi?cate
IBM Data Management
This Data Manager Professional Certi?cate equips you with the
essential skills and hands-on experience employers are looking for in
data-related roles. As a result of this program, you will become
competent with industry-standard tools such as Excel and Tableau to
analyze and visualize data by building charts and dashboards. You will
understand the distinctions among data repositories including
relational and NoSQL databases, data warehouses, data marts, data
lakes, and data lakehouses. You will explore the data ecosystem, such
as architectures, pipelines, and management processes. You will also
understand the signi?cance of high-quality security, governance, and
compliance with respect to the data lifecycle and related concepts
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/profession
al-cert/WBCOP5MNVXNP"
University of Colorado Boulder,Data Visualization & Analytics in Tableau,https://www.coursera.org/account/accomplishments/specialization/X88PSUFOE26P,"3 Courses
Fundamentals of
Visualization & Design with
Tableau
Essential Dashboarding &
Storytelling Techniques
Advanced Visualizations
using Tableau
Kenneth Miller, M.S. 
Adjunct Faculty | Senior
Data Analyst 
Marketing, Data &
Analytics
Jul 17, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Data Visualization &
Analytics in Tableau
Learners gained the skills necessary to become an expert data
visualizer - creating both basic and complex charts in Tableau,
understanding the underlying data structure of unknown data sets,
and implementing advanced tools capable of forecasting, clustering
and showing trends. Learners completed a capstone project at the
end of the Specialization to apply their new knowledge and skills.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/X88PSUFOE26P"
University of Colorado Boulder,Databases for Data Scientists,https://www.coursera.org/account/accomplishments/specialization/Z5IQ1WR5PDMU,"3 Courses
Relational Database Design
The Structured Query
Language (SQL)
Advanced Topics and Future
Trends in Database
Technologies
Di Wu 
Instructor 
Data ScienceAlan Paradise 
Teaching Professor 
Computer Science
Jul 4, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Databases for Data
Scientists
In this specialization learners developed essential skills about relational
databases, including relational database design, database software
fundamentals, and how to use the Structured Query Language (SQL)
to work with databases. The specialization also introduced advanced
topics in the ?eld, such as database administration, data warehouse,
big data, and NoSQL. Learners completed multiple projects to apply
their new knowledge and skills.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/Z5IQ1WR5PDMU"
Vanderbilt University,Generative AI Assistants,https://www.coursera.org/account/accomplishments/specialization/NYX3D9YA3D3O,"3 Courses
Prompt Engineering for
ChatGPT
OpenAI GPTs: Creating Your
Own Custom AI Assistants
Trustworthy Generative AI
Dr. Jules White
Professor 
Department of
Computer Science 
Vanderbilt University
Jul 7, 2025
Al Rey Villagracia
has successfully completed the online, non-credit Specialization
Generative AI Assistants
Step into the frontier of digital assistance with the ""Generative AI
Assistants"" specialization, your guide to crafting bespoke AI partners
for any sector or specialized need. This course unveils the complexities
of tailoring GPT-style language models that intuitively align with your
world—be it legal, logistical, or scienti?c. You'll learn how to train your
custom AI to parse through documents, engage in natural dialogue,
and even mimic designated communicative tones—all while rigorously
testing to assure precision and reliability.
The online specialization named in this certi?cate may draw on material from courses taught on-campus, but the included
courses are not equivalent to on-campus courses. Participation in this online specialization does not constitute enrollment
at this university. This certi?cate does not confer a University grade, course credit or degree, and it does not verify the
identity of the learner.
Verify this certi?cate at: 
https://coursera.org/verify/specializat
ion/NYX3D9YA3D3O"
